# HST CALSPEC model spectrum of Alpha Lyra (Vega)
# File taken from http://www.stsci.edu/hst/observatory/crds/calspec.html
# Filename: alpha_lyr_mod_001.fits
# Clipped on the red side at 2200 nm
# Units converted to nm and erg/s/cm^2/nm.
#
# Wavelength(nm)  Flux(erg/s/cm^2/nm)
     209.324292    4.817787e-08
     209.534106    4.758833e-08
     209.744189    4.728538e-08
     209.954492    4.726901e-08
     210.164893    4.726901e-08
     210.375610    4.777665e-08
     210.586499    4.834163e-08
     210.797705    4.667947e-08
     211.009009    4.508283e-08
     211.220508    4.513195e-08
     211.432300    4.626189e-08
     211.644189    4.818605e-08
     211.856396    4.874283e-08
     212.068799    4.862820e-08
     212.281396    4.786673e-08
     212.494189    4.690873e-08
     212.707202    4.644202e-08
     212.920508    4.564779e-08
     213.133911    4.402658e-08
     213.347607    4.177489e-08
     213.561499    4.113624e-08
     213.775488    4.319960e-08
     213.989893    4.383826e-08
     214.204395    4.491088e-08
     214.419092    4.634377e-08
     214.634106    4.649115e-08
     214.849292    4.602444e-08
     215.064600    4.554954e-08
     215.280200    4.600806e-08
     215.496094    4.681867e-08
     215.712109    4.625370e-08
     215.928296    4.463248e-08
     216.144800    4.418215e-08
     216.361499    4.460793e-08
     216.578394    4.418215e-08
     216.795508    4.338792e-08
     217.012891    4.333060e-08
     217.230396    4.339611e-08
     217.448193    4.245449e-08
     217.666211    4.223342e-08
     217.884399    4.342068e-08
     218.102808    4.477168e-08
     218.321509    4.527933e-08
     218.540308    4.411665e-08
     218.759399    4.321597e-08
     218.978711    4.373181e-08
     219.198291    4.428859e-08
     219.417993    4.512376e-08
     219.637988    4.630283e-08
     219.858203    4.618820e-08
     220.078589    4.531208e-08
     220.299194    4.504188e-08
     220.519995    4.427221e-08
     220.741089    4.283113e-08
     220.962402    4.172577e-08
     221.183911    4.099704e-08
     221.405688    4.143919e-08
     221.627588    4.166026e-08
     221.849805    4.177489e-08
     222.072192    4.193047e-08
     222.294800    4.177489e-08
     222.517700    4.099704e-08
     222.740796    4.093972e-08
     222.964111    4.217610e-08
     223.187598    4.332241e-08
     223.411304    4.421490e-08
     223.635303    4.463248e-08
     223.859497    4.403476e-08
     224.083911    4.262644e-08
     224.308594    4.102160e-08
     224.533398    4.094791e-08
     224.758496    4.096429e-08
     224.983789    4.016187e-08
     225.209399    4.020281e-08
     225.435205    3.953140e-08
     225.661206    3.925301e-08
     225.887402    4.030106e-08
