Wave     R062      Z087      Y106      J129      H158      F184      W146      K213      SNPrism   Grism_1stOrder  Grism_0thOrder
1.325    0.0000    0.0000    0.0000    2.8328    0.0009    0.0000    2.8328    0.0000    2.7485    2.5601    0.0000
1.330    0.0000    0.0000    0.0000    2.8353    0.0028    0.0000    2.8353    0.0000    2.7509    2.5612    0.0000
1.335    0.0000    0.0000    0.0000    2.8379    0.0076    0.0000    2.8379    0.0000    2.7534    2.5621    0.0000
1.340    0.0000    0.0000    0.0000    2.8390    0.0189    0.0000    2.8390    0.0000    2.7545    2.5612    0.0000
1.345    0.0000    0.0000    0.0000    2.8417    0.0430    0.0000    2.8417    0.0000    2.7571    2.5612    0.0000
1.350    0.0000    0.0000    0.0000    2.8448    0.0901    0.0000    2.8448    0.0000    2.7601    2.5612    0.0000
1.355    0.0000    0.0000    0.0000    2.8467    0.1733    0.0000    2.8467    0.0000    2.7620    2.5597    0.0000
1.360    0.0000    0.0000    0.0000    2.8503    0.3075    0.0000    2.8503    0.0000    2.7654    2.5592    0.0000
1.365    0.0000    0.0000    0.0000    2.8526    0.5037    0.0000    2.8526    0.0000    2.7676    2.5572    0.0000
1.370    0.0000    0.0000    0.0000    2.8563    0.7654    0.0000    2.8563    0.0000    2.7713    2.5561    0.0000
1.375    0.0000    0.0000    0.0000    2.8602    1.0825    0.0000    2.8602    0.0000    2.7751    2.5548    0.0000
1.380    0.0000    0.0000    0.0000    2.8623    1.4311    0.0000    2.8623    0.0000    2.7771    2.5515    0.0000
1.385    0.0000    0.0000    0.0000    2.8664    1.7816    0.0000    2.8665    0.0000    2.7811    2.5496    0.0000
1.390    0.0000    0.0000    0.0000    2.8688    2.1002    0.0000    2.8690    0.0000    2.7836    2.5460    0.0000
1.395    0.0000    0.0000    0.0000    2.8697    2.3636    0.0000    2.8705    0.0000    2.7850    2.5411    0.0000
1.400    0.0000    0.0000    0.0000    2.8693    2.5617    0.0000    2.8715    0.0000    2.7860    2.5354    0.0000
1.405    0.0000    0.0000    0.0000    2.8651    2.6960    0.0000    2.8708    0.0000    2.7853    2.5279    0.0000
1.410    0.0000    0.0000    0.0000    2.8558    2.7789    0.0000    2.8697    0.0000    2.7843    2.5198    0.0001
1.415    0.0000    0.0000    0.0000    2.8374    2.8255    0.0000    2.8689    0.0000    2.7835    2.5116    0.0001
1.420    0.0000    0.0000    0.0000    2.8039    2.8505    0.0000    2.8696    0.0000    2.7841    2.5044    0.0001
1.425    0.0000    0.0000    0.0000    2.7450    2.8644    0.0000    2.8720    0.0000    2.7865    2.4985    0.0001
1.430    0.0000    0.0000    0.0000    2.6453    2.8702    0.0000    2.8730    0.0000    2.7875    2.4911    0.0001
1.435    0.0000    0.0000    0.0000    2.4949    2.8739    0.0000    2.8748    0.0000    2.7892    2.4840    0.0002
1.440    0.0000    0.0000    0.0000    2.2844    2.8746    0.0000    2.8749    0.0000    2.7893    2.4753    0.0002
1.445    0.0000    0.0000    0.0000    2.0158    2.8735    0.0000    2.8736    0.0000    2.7880    2.4651    0.0002
1.450    0.0000    0.0000    0.0000    1.7041    2.8742    0.0000    2.8743    0.0000    2.7887    2.4564    0.0003
1.455    0.0000    0.0000    0.0000    1.3704    2.8755    0.0000    2.8755    0.0000    2.7899    2.4479    0.0003
