   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     1.640    0.0000    0.0000    0.0000    0.6301    0.0092    0.6301    0.6578    0.4670
     1.645    0.0000    0.0000    0.0000    0.6290    0.0169    0.6290    0.6565    0.4652
     1.650    0.0000    0.0000    0.0000    0.6279    0.0295    0.6279    0.6553    0.4634
     1.655    0.0000    0.0000    0.0000    0.6263    0.0486    0.6263    0.6535    0.4611
     1.660    0.0000    0.0000    0.0000    0.6245    0.0759    0.6245    0.6516    0.4588
     1.665    0.0000    0.0000    0.0000    0.6227    0.1124    0.6227    0.6498    0.4564
     1.670    0.0000    0.0000    0.0000    0.6210    0.1582    0.6210    0.6480    0.4541
     1.675    0.0000    0.0000    0.0000    0.6194    0.2121    0.6194    0.6464    0.4519
     1.680    0.0000    0.0000    0.0000    0.6180    0.2716    0.6180    0.6450    0.4498
     1.685    0.0000    0.0000    0.0000    0.6170    0.3334    0.6170    0.6440    0.4479
     1.690    0.0000    0.0000    0.0000    0.6164    0.3937    0.6164    0.6434    0.4464
     1.695    0.0000    0.0000    0.0000    0.6162    0.4491    0.6162    0.6434    0.4452
     1.700    0.0000    0.0000    0.0000    0.6166    0.4970    0.6167    0.6439    0.4444
     1.705    0.0000    0.0000    0.0000    0.6183    0.5369    0.6186    0.6461    0.4446
     1.710    0.0000    0.0000    0.0000    0.6206    0.5682    0.6212    0.6489    0.4454
     1.715    0.0000    0.0000    0.0000    0.6229    0.5917    0.6243    0.6523    0.4464
     1.720    0.0000    0.0000    0.0000    0.6247    0.6087    0.6277    0.6560    0.4477
     1.725    0.0000    0.0000    0.0000    0.6255    0.6208    0.6312    0.6598    0.4490
     1.730    0.0000    0.0000    0.0000    0.6240    0.6294    0.6348    0.6636    0.4503
     1.735    0.0000    0.0000    0.0000    0.6190    0.6356    0.6382    0.6673    0.4516
     1.740    0.0000    0.0000    0.0000    0.6088    0.6401    0.6414    0.6706    0.4525
     1.745    0.0000    0.0000    0.0000    0.5917    0.6435    0.6440    0.6733    0.4532
     1.750    0.0000    0.0000    0.0000    0.5660    0.6458    0.6460    0.6753    0.4533
     1.755    0.0000    0.0000    0.0000    0.5304    0.6469    0.6469    0.6760    0.4527
     1.760    0.0000    0.0000    0.0000    0.4854    0.6473    0.6473    0.6761    0.4517
     1.765    0.0000    0.0000    0.0000    0.4321    0.6472    0.6473    0.6756    0.4503
     1.770    0.0000    0.0000    0.0000    0.3727    0.6467    0.6467    0.6745    0.4487
